player_id,progressive_passes,total_passes,progressive_pass_pct,final_third_entries,defensive_actions,defensive_actions_per90,total_onball_events,inaccurate_events,dangerous_losses,inaccurate_rate,dangerous_loss_rate
491409,15,116,0.1293103448275862,4,8.0,1.6143497757847534,312,95,0,0.3044871794871794,0.0
20459,831,1966,0.4226856561546286,261,211.0,6.0285714285714285,2727,468,5,0.1716171617161716,0.0018335166850018
37732,405,1548,0.2616279069767442,207,182.0,8.021547502448579,2256,354,2,0.1569148936170212,0.000886524822695
20448,364,1476,0.2466124661246612,177,191.0,6.911942098914355,2353,489,4,0.2078198045048873,0.0016999575010624
20449,147,733,0.2005457025920873,59,106.0,5.892526250772082,1409,323,3,0.2292405961674946,0.0021291696238466
70084,274,1447,0.1893572909467864,129,124.0,5.276595744680851,2467,455,2,0.1844345358735306,0.0008107012565869
20470,133,655,0.2030534351145038,76,40.0,4.411764705882353,849,133,0,0.1566548881036513,0.0
20663,68,513,0.1325536062378167,34,48.0,3.30781010719755,1070,272,1,0.2542056074766355,0.0009345794392523
345740,28,166,0.1686746987951807,7,26.0,6.12565445026178,325,89,0,0.2738461538461538,0.0
20776,325,966,0.3364389233954451,77,187.0,8.30700888450148,1524,345,1,0.2263779527559055,0.0006561679790026
20749,474,1536,0.30859375,219,209.0,6.37411047102677,2542,579,3,0.2277734067663257,0.0011801730920535
20460,228,676,0.3372781065088757,65,112.0,6.26865671641791,1148,272,3,0.2369337979094076,0.0026132404181184
116269,195,1065,0.1830985915492957,66,182.0,5.8312566749733,2302,615,4,0.2671589921807124,0.0017376194613379
21468,467,711,0.6568213783403657,43,43.0,1.162162162162162,1504,203,1,0.1349734042553191,0.0006648936170212
40806,119,609,0.1954022988505747,52,49.0,3.828125,1305,338,1,0.2590038314176245,0.0007662835249042
127534,97,568,0.1707746478873239,38,58.0,4.38655462184874,961,237,2,0.246618106139438,0.0020811654526534
8291,147,687,0.2139737991266375,59,127.0,9.90467937608319,1032,182,3,0.1763565891472868,0.002906976744186
50007,521,1533,0.339856490541422,94,270.0,9.0,2367,357,2,0.1508238276299112,0.0008449514152936
24838,251,1065,0.2356807511737089,100,160.0,6.645131518227965,2028,456,7,0.2248520710059171,0.0034516765285996
21322,33,278,0.118705035971223,10,58.0,5.0,687,170,1,0.24745269286754,0.0014556040756914
24269,44,294,0.1496598639455782,20,27.0,1.7209631728045327,841,293,3,0.3483947681331747,0.0035671819262782
21291,247,1282,0.1926677067082683,165,95.0,3.396901072705602,2293,637,6,0.2778020061055385,0.0026166593981683
21564,473,1635,0.2892966360856269,204,272.0,7.788736875596563,2576,553,2,0.2146739130434782,0.0007763975155279
21296,58,622,0.0932475884244373,31,55.0,2.3959341723136496,1640,458,1,0.2792682926829268,0.0006097560975609
222766,117,450,0.26,46,51.0,5.94559585492228,826,164,1,0.198547215496368,0.0012106537530266
44510,211,614,0.3436482084690553,32,140.0,10.465116279069766,982,181,1,0.1843177189409368,0.0010183299389002
21272,19,84,0.2261904761904762,16,12.0,7.883211678832117,134,25,0,0.1865671641791045,0.0
105376,31,312,0.0993589743589743,19,27.0,1.3358988455195162,959,290,0,0.3023983315954119,0.0
25437,339,1347,0.2516703786191537,181,133.0,5.02729945401092,2130,364,3,0.1708920187793427,0.0014084507042253
263432,408,1140,0.3578947368421052,85,238.0,7.340644276901987,1805,404,2,0.2238227146814404,0.0011080332409972
114,370,1392,0.2658045977011494,237,131.0,5.221434898139947,2134,424,0,0.1986879100281162,0.0
20935,286,1349,0.2120088954781319,106,148.0,4.200567644276253,2612,643,8,0.2461715160796324,0.003062787136294
214220,677,921,0.7350705754614549,24,99.0,2.675675675675676,1528,150,2,0.0981675392670157,0.0013089005235602
3463,622,1828,0.3402625820568928,176,276.0,8.533150120233598,2735,420,4,0.1535648994515539,0.0014625228519195
